Winter,Anomaly,Temp
1981,-0.26,18
1981,-0.26,23.3
1981,-0.26,19.8
1982,-0.05,2.3
1982,-0.05,15.8
1982,-0.05,17.5
1983,2.18,19.6
1983,2.18,26.9
1983,2.18,25.6
1984,-0.6,11.9
1984,-0.6,27.4
1984,-0.6,3.7
1985,-1.04,10.1
1985,-1.04,16.4
1985,-1.04,17.9
1986,-0.49,17.5
1986,-0.49,15.6
1986,-0.49,7.7
1987,1.23,21.2
1987,1.23,31.6
1987,1.23,24.7
1988,0.81,10.4
1988,0.81,13.8
1988,0.81,24.9
1989,-1.69,21.2
1989,-1.69,8.6
1989,-1.69,20.5
1990,0.14,26.2
1990,0.14,23.7
1990,0.14,10.6
1991,0.41,12.4
1991,0.41,24.4
1991,0.41,16.9
1992,1.71,21.9
1992,1.71,28
1992,1.71,21.1
1993,0.09,14.6
1993,0.09,17.2
1993,0.09,21.2
1994,0.06,4.3
1994,0.06,13.2
1994,0.06,22.1
1995,0.96,18.4
1995,0.96,19.3
1995,0.96,24.5
1996,-0.9,10.2
1996,-0.9,17.9
1996,-0.9,19.1
1997,-0.5,10.3
1997,-0.5,19.9
1997,-0.5,13.7
1998,2.24,19.1
1998,2.24,31.9
1998,2.24,26.9
1999,-1.55,12.3
1999,-1.55,27.9
1999,-1.55,24.6
2000,-1.66,15.9
2000,-1.66,27.8
2000,-1.66,25.6
2001,-0.68,20
2001,-0.68,11.8
2001,-0.68,7.6
2002,-0.15,24.6
2002,-0.15,28.3
2002,-0.15,27.6
2003,0.92,15.3
2003,0.92,15.7
2003,0.92,26.2
2004,0.37,11.2
2004,0.37,21.6
2004,0.37,24.9
2005,0.64,15.6
2005,0.64,26.4
2005,0.64,22.6
2006,-0.85,28.6
2006,-0.85,20
2006,-0.85,19.4
2007,0.66,19.6
2007,0.66,13.5
2007,0.66,29.1
2008,-1.64,13.2
2008,-1.64,15.2
2008,-1.64,16.6
2009,-0.85,8.3
2009,-0.85,20.8
2009,-0.85,13.5
2010,1.5,13.1
2010,1.5,19.7
2010,1.5,17.3
2011,-1.42,12
2011,-1.42,18.7
2011,-1.42,16.4
2012,-0.86,23.3
2012,-0.86,27.7
2012,-0.86,27.8
2013,-0.43,16.9
2013,-0.43,19
2013,-0.43,23.4
2014,-0.42,8
2014,-0.42,8.6
2014,-0.42,12.4
2015,0.55,19
2015,0.55,11.2
2015,0.55,24.3
2016,2.48,17.6
2016,2.48,24.9
2016,2.48,30.2
2017,-0.34,20.9
2017,-0.34,31.2
2017,-0.34,20.9
2018,-0.92,16.6
2018,-0.92,15.9
2018,-0.92,18.9
2019,0.75,14.3
2019,0.75,12.8
2019,0.75,25.8
2020,0.5,20.6
2020,0.5,21.1
2020,0.5,23.2
